date,sentiment,total_volume,total_pnl,trade_count
2024-06-16,Greed,6131.6,0.0,11
2024-06-17,Greed,25157.9899,10599.502375,38
2024-06-18,Greed,1932.406,282.57636,25
2024-06-19,Greed,20115.6935,4887.656944,61
2024-06-20,Greed,51788.7982,57478.456026,39
2024-06-21,Greed,7984.0992,773.5582039999999,80
2024-06-22,Neutral,339.0564,756.876565,24
2024-06-23,Greed,578.0,0.0,5
2024-06-24,Neutral,410.2027,0.0,31
2024-06-25,Fear,31795.2,4869.353105,49
2024-06-26,Neutral,426.5723,4197.732182,72
2024-06-27,Fear,3230.1536,0.0,30
2024-06-29,Fear,1231633.8638,6150.326145,75
2024-06-30,Neutral,278255.875,0.0,14
2024-07-01,Neutral,1227237.4996,5065.839308,64
2024-07-02,Neutral,11420.300000000001,2421.253116,18
2024-07-03,Neutral,256.5812,1118.387284,18
2024-07-04,Fear,302.9901,0.0,25
2024-07-05,Fear,5354.8189999999995,0.0,32
2024-07-06,Fear,983577.0,108.87217799999999,24
2024-07-07,Fear,125.0,61.428942,10
2024-07-08,Fear,156.0,0.0,1
2024-07-09,Fear,600.0,648.984412,15
2024-07-10,Fear,6773.8043,11977.734907,56
2024-07-11,Fear,53.826499999999996,1876.812082,19
2024-07-12,Fear,6408.3182,1412.314654,19
2024-07-13,Fear,119.9226,2913.617837,17
2024-07-14,Fear,26.2683,0.0,7
2024-07-15,Neutral,249.8487,-1.0,26
2024-07-16,Greed,41.7464,0.0,22
2024-07-17,Greed,148888.4638,1859.269477,351
2024-07-18,Greed,2916.6704,3803.884311,60
2024-07-19,Greed,800.5319999999999,2155.891114,23
2024-07-20,Greed,32883.8745,2299.169566,266
2024-07-21,Greed,59706.7453,-2960.716887,448
2024-07-22,Greed,19037.4927,1517.119876,154
2024-07-23,Greed,65463.9188,89890.302206,370
2024-07-24,Greed,109521.54280475,625.561479,90
2024-07-25,Greed,398195.65057999996,916.7382600000001,78
2024-07-26,Greed,269229.167597,2766.513113,152
2024-07-27,Greed,2091.77823,6400.623656,57
2024-07-28,Greed,4913.6029,587.29903,16
2024-07-29,Greed,5057.07922,330.80445399999996,39
2024-07-30,Greed,10.9261,0.0,6
2024-07-31,Greed,44585.1777,765.690884,43
2024-08-01,Neutral,292827.2818435,167.080017,57
2024-08-02,Greed,68333.3740408,782.3681909999999,63
